handle,packageName
tanaka,array.prototype.findindex
ren,css.escape
aritra,css.escape
ren,platform
hoshino,@ampproject/toolbox-optimizer
sokolova,@ampproject/toolbox-optimizer
novak,css
sokolova,domhandler
hoshino,urix
sokolova,urix
oyelaran,domelementtype
hoshino,domelementtype
oyelaran,domutils
hoshino,domutils
lindqvist,htmlparser2
tanaka,htmlparser2
lindqvist,normalize-html-whitespace
nakamura,terser
okonkwo,source-map-resolve
aritra,@next/react-refresh-utils
oyelaran,dom-serializer
devora,source-map-url
kowalski,atob
devora,@ampproject/toolbox-script-csp
vasquez,@ampproject/toolbox-script-csp
novak,@ampproject/toolbox-script-csp
mbaye,@ampproject/toolbox-runtime-version
okonkwo,@ampproject/toolbox-validator-rules
haddad,@ampproject/toolbox-validator-rules
devora,@ampproject/toolbox-validator-rules
lindqvist,@ampproject/toolbox-core
tanaka,@ampproject/toolbox-core
aritra,cross-fetch
oyelaran,cross-fetch
nakamura,axios
vasquez,follow-redirects
sokolova,mongoose
sokolova,bson
nakamura,mongodb
hoshino,muri
okonkwo,kareem
haddad,kareem
singh,mpath
quintero,mpath
ferreira,mpath
petrov,sliced
ilyas,regexp-clone
okonkwo,hooks-fixed
petrov,mquery
aritra,mpromise
ren,mongodb-core
aritra,mongodb-core
oyelaran,mongodb-core
oyelaran,kerberos
hoshino,kerberos
aritra,socket.io
mbaye,redis
tanaka,socket.io-client
hoshino,policyfile
sokolova,policyfile
ferreira,nodemailer
kowalski,nodemailer
novak,mailcomposer
ilyas,mailcomposer
lindqvist,directmail
haddad,simplesmtp
ren,public-address
aritra,public-address
ferreira,he
okonkwo,mimelib-noiconv
haddad,mimelib-noiconv
devora,mimelib-noiconv
quintero,rai
ferreira,rai
kowalski,rai
tanaka,xoauth2
vasquez,puppeteer
petrov,proxy-from-env
kowalski,https-proxy-agent
okonkwo,https-proxy-agent
aritra,unbzip2-stream
devora,agent-base
tanaka,es6-promisify
novak,tar-fs
ren,ws
novak,extract-zip
quintero,chownr
singh,bzip2
quintero,bzip2
ferreira,bzip2
mbaye,is-array
nakamura,is-array
sokolova,get-stream
petrov,get-stream
mbaye,get-stream
aritra,yauzl
lindqvist,pend
hoshino,fd-slicer
sokolova,fd-slicer
lindqvist,devtools-protocol
tanaka,devtools-protocol
ferreira,tar-stream
aritra,pump
oyelaran,pump
mbaye,end-of-stream
okonkwo,fs-constants
singh,bl
vasquez,safe-buffer
petrov,iconv
ferreira,@types/yauzl
novak,@types/node
ilyas,@types/node
sokolova,@types/events
vasquez,sequelize
novak,sequelize
ferreira,depd
mbaye,moment
okonkwo,inflection
lindqvist,cls-bluebird
ren,uuid
aritra,uuid
oyelaran,uuid
sokolova,wkx
petrov,wkx
mbaye,wkx
ferreira,dottie
novak,validator
sokolova,shimmer
lindqvist,is-bluebird
tanaka,is-bluebird
ren,is-bluebird
hoshino,generic-pool
okonkwo,moment-timezone
haddad,moment-timezone
devora,moment-timezone
oyelaran,retry-as-promised
nakamura,toposort-class
quintero,terraformer-wkt-parser
ilyas,terraformer
lindqvist,terraformer
tanaka,terraformer
aritra,passport
lindqvist,pkginfo
tanaka,pkginfo
ren,pkginfo
haddad,body-parser
ferreira,on-finished
devora,media-typer
vasquez,media-typer
novak,media-typer
nakamura,ee-first
singh,ee-first
quintero,ee-first
sokolova,jsonwebtoken
ren,jws
aritra,jws
oyelaran,jws
quintero,jwa
ferreira,jwa
kowalski,jwa
ren,base64url
aritra,base64url
oyelaran,base64url
quintero,buffer-equal-constant-time
nakamura,tap
tanaka,tap-global-harness
ren,tap-global-harness
singh,tap-results
singh,yamlish
sokolova,tap-test
petrov,tap-test
vasquez,tap-assert
devora,tap-producer
vasquez,tap-producer
quintero,tap-harness
ferreira,tap-harness
kowalski,tap-harness
novak,tap-consumer
aritra,tap-runner
lindqvist,options
tanaka,options
ren,options
ilyas,ultron
lindqvist,got
tanaka,got
nakamura,duplexer3
singh,duplexer3
quintero,duplexer3
aritra,url-parse-lax
oyelaran,url-parse-lax
quintero,lowercase-keys
ferreira,unzip-response
kowalski,unzip-response
okonkwo,unzip-response
novak,prepend-http
ilyas,prepend-http
petrov,is-stream
singh,is-redirect
ferreira,create-error-class
kowalski,create-error-class
okonkwo,create-error-class
hoshino,is-retry-allowed
sokolova,is-retry-allowed
petrov,is-retry-allowed
okonkwo,timed-out
mbaye,capture-stack-trace
quintero,rxjs
hoshino,tslib
vasquez,chardet
sokolova,typescript
petrov,typescript
ren,rollup
tanaka,@types/estree
ren,@types/estree
aritra,tailwindcss
sokolova,color
quintero,postcss-js
aritra,camelcase-css
nakamura,detective
singh,detective
mbaye,node-emoji
devora,object-hash
vasquez,object-hash
oyelaran,html-tags
tanaka,color-string
petrov,acorn5-object-spread
aritra,defined
ren,simple-swizzle
ilyas,postcss-nested
ilyas,reduce-css-calc
lindqvist,reduce-css-calc
vasquez,postcss-selector-parser
novak,postcss-selector-parser
hoshino,indexes-of
kowalski,dot-prop
okonkwo,dot-prop
ilyas,is-obj
aritra,postcss-functions
tanaka,pretty-hrtime
ferreira,normalize.css
kowalski,normalize.css
kowalski,cssesc
okonkwo,cssesc
hoshino,css-unit-converter
mbaye,uniq
aritra,@fullhuman/postcss-purgecss
oyelaran,@fullhuman/postcss-purgecss
hoshino,@fullhuman/postcss-purgecss
quintero,purgecss
ren,vite
ilyas,esbuild
lindqvist,esbuild
mbaye,prisma
mbaye,prisma-cli-core
nakamura,prisma-cli-core
sokolova,shebang-command
novak,globby
ilyas,globby
lindqvist,globby
devora,archiver
okonkwo,graphcool-inquirer
haddad,graphcool-inquirer
devora,graphcool-inquirer
haddad,copy-paste
singh,download-github-repo
quintero,download-github-repo
vasquez,graphql
tanaka,prisma-cli-engine
okonkwo,rx-lite-aggregates
haddad,rx-lite-aggregates
mbaye,array-union
nakamura,array-union
ferreira,archiver-utils
kowalski,archiver-utils
okonkwo,archiver-utils
vasquez,walkdir
haddad,rx-lite
mbaye,array-uniq
devora,zip-stream
vasquez,zip-stream
petrov,lazystream
mbaye,lazystream
ilyas,wget
lindqvist,wget
tanaka,wget
tanaka,execSync
mbaye,cardinal
nakamura,cardinal
sokolova,compress-commons
tanaka,cache-require-paths
ren,cache-require-paths
tanaka,temp
ren,temp
ren,redeyed
ferreira,ansicolors
singh,@types/fs-extra
quintero,@types/fs-extra
quintero,crc32-stream
ilyas,@heroku/linewrap
lindqvist,@heroku/linewrap
tanaka,@heroku/linewrap
nakamura,lodash.includes
singh,lodash.includes
quintero,lodash.includes
singh,lodash.once
ilyas,lodash.isnumber
ilyas,lodash.isboolean
tanaka,lodash.isplainobject
ren,lodash.isplainobject
aritra,lodash.isplainobject
quintero,6to5-runtime
ferreira,6to5-runtime
haddad,lodash.isstring
kowalski,klaw-sync
okonkwo,klaw-sync
hoshino,isomorphic-fetch
mbaye,directory-tree
singh,lodash.ary
vasquez,lodash.isinteger
sokolova,graphql-request
quintero,encoding
ferreira,encoding
okonkwo,npm-run
haddad,npm-run
devora,npm-run
mbaye,jwt-decode
mbaye,lodash.differenceby
ren,node-forge
tanaka,multimatch
novak,lodash.before
ilyas,lodash.before
vasquez,graphql-config
haddad,lodash._createwrapper
devora,lodash._createwrapper
vasquez,lodash._createwrapper
devora,sync-exec
hoshino,npm-path
sokolova,npm-path
petrov,npm-path
tanaka,serializerr
ren,serializerr
aritra,serializerr
singh,lodash._arrayincludes
quintero,lodash._arrayincludes
ferreira,lodash._arrayincludes
aritra,lodash._arrayincludeswith
oyelaran,lodash._arrayincludeswith
okonkwo,lodash._setcache
haddad,lodash._setcache
devora,lodash._setcache
oyelaran,lodash._baseflatten
oyelaran,lodash._cachehas
vasquez,lodash._root
ilyas,npm-which
devora,lodash.merge
lindqvist,array-differ
hoshino,marked
quintero,protochain
ferreira,lodash.flatten
sokolova,lodash.partial
petrov,lodash.partial
haddad,lodash.maxby
ilyas,lodash.identity
lindqvist,lodash.identity
tanaka,lodash.identity
ferreira,lodash.uniqby
kowalski,lodash.uniqby
okonkwo,lodash.uniqby
hoshino,lodash.groupby
nakamura,lodash.result
mbaye,lodash.property
nakamura,lodash.property
singh,lodash.property
hoshino,lodash._arrayeach
sokolova,lodash._arrayeach
petrov,lodash._arrayeach
kowalski,lodash.toplainobject
okonkwo,lodash.toplainobject
hoshino,lodash.istypedarray
singh,lodash._arraycopy
quintero,lodash._arraycopy
ferreira,lodash._arraycopy
hoshino,graphql-cli
sokolova,graphql-cli
petrov,graphql-cli
novak,ora
ilyas,ora
lindqvist,ora
ren,mem
aritra,mem
oyelaran,mem
ferreira,log-symbols
oyelaran,cli-spinners
hoshino,cli-spinners
mbaye,execa
kowalski,babel
okonkwo,babel
haddad,babel
novak,tape
ilyas,tape
kowalski,object-inspect
okonkwo,object-inspect
kowalski,lodash.isfunction
okonkwo,lodash.isfunction
haddad,lodash.isfunction
vasquez,lodash._baseeach
novak,lodash._baseeach
ilyas,lodash._baseeach
kowalski,lodash._basecreate
devora,lodash.tostring
vasquez,lodash.tostring
novak,lodash.tostring
hoshino,lodash._replaceholders
sokolova,lodash._replaceholders
petrov,lodash._replaceholders
quintero,npm-paths
ferreira,npm-paths
quintero,disparity
ferreira,disparity
aritra,is-windows
oyelaran,is-windows
hoshino,is-windows
nakamura,global-modules
quintero,global-prefix
oyelaran,useragent
ren,strip-eof
aritra,strip-eof
oyelaran,strip-eof
petrov,cross-spawn-async
sokolova,resumer
petrov,resumer
tanaka,deep-equal
oyelaran,marked-terminal
hoshino,marked-terminal
kowalski,replaceall
hoshino,memfs
aritra,string
oyelaran,string
hoshino,string
tanaka,scuid
devora,raven
vasquez,raven
ferreira,prisma-json-schema
petrov,serialize-error
quintero,rwlockfile
lindqvist,json-stringify-safe
ilyas,stack-trace
lindqvist,stack-trace
vasquez,prisma-yml
petrov,fs-readdir-recursive
mbaye,fs-readdir-recursive
singh,acorn-babel
quintero,acorn-babel
sokolova,regenerator-babel
ferreira,output-file-sync
kowalski,output-file-sync
okonkwo,express-request-proxy
oyelaran,graphql-schema-linter
oyelaran,graphql-playground-middleware-express
hoshino,js-tokenizer
sokolova,js-tokenizer
haddad,roadrunner
devora,roadrunner
vasquez,roadrunner
novak,url-join
ilyas,url-join
oyelaran,through2
nakamura,cli-table
novak,fast-extend
oyelaran,ps-node
mbaye,lsmod
okonkwo,yaml-ast-parser
oyelaran,camel-case
ren,simple-errors
aritra,simple-errors
oyelaran,simple-errors
nakamura,colors
ferreira,update-notifier
kowalski,update-notifier
okonkwo,update-notifier
aritra,semver-diff
oyelaran,semver-diff
novak,xdg-basedir
ilyas,xdg-basedir
aritra,latest-version
oyelaran,latest-version
sokolova,boxen
petrov,boxen
mbaye,ansi-align
haddad,widest-line
devora,widest-line
vasquez,widest-line
hoshino,sentence-case
singh,ts-node
ren,string-similarity
aritra,string-similarity
oyelaran,string-similarity
ren,treeify
aritra,treeify
oyelaran,treeify
oyelaran,configstore
hoshino,configstore
sokolova,configstore
petrov,lazy-req
mbaye,lazy-req
haddad,is-npm
lindqvist,cli-boxes
tanaka,cli-boxes
okonkwo,package-json
ferreira,term-size
kowalski,term-size
okonkwo,term-size
oyelaran,registry-url
tanaka,is-plain-obj
ren,is-plain-obj
aritra,is-plain-obj
lindqvist,rc
ferreira,sillyname
kowalski,sillyname
tanaka,slice-ansi
ren,slice-ansi
aritra,slice-ansi
mbaye,unzip
nakamura,pause
ilyas,yn
lindqvist,yn
sokolova,tsconfig
petrov,tsconfig
nakamura,make-error
singh,v8flags
hoshino,unique-string
sokolova,unique-string
oyelaran,crypto-random-string
hoshino,crypto-random-string
ren,node-status-codes
ilyas,registry-auth-token
oyelaran,fstream
hoshino,fstream
sokolova,fstream
novak,pullstream
hoshino,binary
tanaka,over
ferreira,chainsaw
kowalski,chainsaw
tanaka,stream-buffers
ren,stream-buffers
aritra,stream-buffers
nakamura,@floatdrop/duplexer2
singh,@floatdrop/duplexer2
quintero,@floatdrop/duplexer2
lindqvist,vows
sokolova,traverse
tanaka,eyes
ren,eyes
lindqvist,util.promisify
sokolova,define-properties
petrov,define-properties
mbaye,define-properties
ferreira,object.getownpropertydescriptors
kowalski,object.getownpropertydescriptors
haddad,foreach
quintero,es-abstract
kowalski,@es-shims/api
okonkwo,@es-shims/api
haddad,@es-shims/api
ren,knex
aritra,knex
singh,tildify
kowalski,generic-pool-redux
ilyas,liftoff
novak,findup-sync
ilyas,findup-sync
lindqvist,findup-sync
devora,bull
kowalski,debuglog
okonkwo,debuglog
haddad,debuglog
tanaka,cron-parser
nakamura,ioredis
singh,ioredis
hoshino,redis-commands
sokolova,redis-commands
tanaka,redis-parser
ferreira,flexbuffer
kowalski,flexbuffer
nakamura,cluster-key-slot
petrov,denque
mbaye,denque
nakamura,denque
mbaye,winston
aritra,isstream
oyelaran,isstream
lindqvist,cycle
tanaka,cycle
kowalski,pino
okonkwo,pino
okonkwo,split2
hoshino,quick-format-unescaped
sokolova,quick-format-unescaped
okonkwo,fast-safe-stringify
haddad,fast-safe-stringify
devora,fast-safe-stringify
vasquez,flatstr
novak,flatstr
nakamura,fast-json-parse
vasquez,block-stream
novak,block-stream
ilyas,block-stream
ilyas,multer
petrov,busboy
mbaye,busboy
nakamura,busboy
kowalski,dicer
okonkwo,dicer
hoshino,streamsearch
ilyas,cors
lindqvist,cors
tanaka,cors
sokolova,helmet
petrov,helmet
mbaye,helmet
petrov,nocache
nakamura,helmet-crossdomain
ilyas,hpkp
sokolova,hide-powered-by
quintero,ienoopen
ferreira,ienoopen
kowalski,ienoopen
vasquez,helmet-csp
novak,helmet-csp
ferreira,frameguard
kowalski,frameguard
okonkwo,frameguard
ferreira,x-xss-protection
ferreira,hsts
kowalski,hsts
sokolova,dont-sniff-mimetype
petrov,dont-sniff-mimetype
ilyas,arraywrap
lindqvist,arraywrap
tanaka,arraywrap
vasquez,camelize
novak,camelize
